fid,id,Ordnung,vertex_index,vertex_part,vertex_part_index,distance,angle,xcoord,ycoord
549,41,3,12,0,12,114.630812449233,39.7426460230086,402092.18602863,5531945.25368999
550,41,3,13,0,13,124.64699166452,39.8376881157279,402098.363144193,5531953.13830091
551,41,3,14,0,14,138.414083764298,40.444116004744,402107.503266408,5531963.43349352
552,41,3,15,0,15,151.261884868038,39.0151852789686,402115.638979589,5531973.37714296
553,41,3,16,0,16,167.873623064357,59.2180586118387,402126.034613098,5531986.33401951
554,41,3,17,0,17,181.34918433666,85.2975066223283,402139.292812355,5531988.74460119
555,41,3,18,0,18,200.535763161325,91.0007829177685,402158.477024917,5531988.44327848
556,41,3,19,0,19,216.207441167862,90.246099771218,402174.145805857,5531988.14195577
557,41,3,20,0,20,225.649420338662,90.7965457882541,402183.587250783,5531988.24239667
558,41,3,21,0,21,230.876209002871,92.2025981537958,402188.810177763,5531988.04151487
559,42,1,0,0,0,0,37.4761795612684,402012.837714892,5531853.65158603
560,42,1,1,0,1,15.1875148735831,40.352354911186,402022.078278011,5531865.70449445
561,42,1,2,0,2,35.864928266584,41.8768168768722,402036.2404454,5531880.77062997
562,42,1,3,0,3,52.2500385157736,43.639254177104,402046.887181167,5531893.225302
563,42,1,4,0,4,59.2134984935054,46.7534048615672,402051.959446792,5531897.99624491
564,43,1,0,0,0,0,359.152491113573,402096.354326124,5531836.52641199
565,43,1,1,0,1,16.9763698496535,0.32714181797632,402096.103223865,5531853.50092467
566,43,1,2,0,2,30.3898379144236,1.34919860095517,402096.454767027,5531866.90978529
567,43,1,3,0,3,49.6284664345017,359.335243883931,402096.856530641,5531886.1442183
568,43,1,4,0,4,73.5566540358998,357.543969529033,402095.801901155,5531910.04915333
569,43,1,5,0,5,91.6517037447796,357.002793558618,402095.048594379,5531928.12851595
570,43,1,6,0,6,108.408335258379,359.183232578995,402093.993964892,5531944.85192638
571,43,1,7,0,7,111.322852684256,1.97493401048762,402094.094405796,5531947.76471258
572,44,1,0,0,0,0,350.690059825167,402038.826798664,5531891.24159415
573,44,1,1,0,1,15.5216947398024,352.018718068288,402036.315776077,5531906.55883193
574,44,1,2,0,2,41.9650398062197,6.38748723003545,402033.252328522,5531932.82412818
575,44,1,3,0,3,54.7988956532982,19.8702122099492,402037.521066919,5531944.92725705
576,44,1,4,0,4,64.4915729410535,18.5856125186843,402040.885837185,5531954.01715882
577,44,1,5,0,5,78.345137382227,19.3866325461033,402044.903473324,5531967.27535807
578,44,1,6,0,6,92.473606291288,19.8967814617297,402050.176620756,5531980.38289598
579,44,1,7,0,7,102.288589414512,18.7159447499329,402053.189847859,5531989.7239
580,44,1,8,0,8,123.446245797913,19.4461521085113,402060.270931554,5532009.66141934
581,44,1,9,0,9,134.516751779158,19.6689319359349,402063.93702453,5532020.1072733
582,44,1,10,0,10,150.229012878929,19.8486869662366,402069.310612866,5532034.87208611
583,44,1,11,0,11,158.870433618933,19.0297244603893,402072.223399066,5532043.00779929
584,44,1,12,0,12,183.422636710626,18.9669766881672,402079.957348633,5532066.31008889
585,44,1,13,0,13,193.016714795987,23.8228063822431,402083.171457544,5532075.3497702
